,words,sentiment
665,crisis,[-1]
666,critical,[-1]
667,critici,[-1]
668,criticus,[-1]
669,cry,[-1]
670,cure,[1]
671,cynisch,[-1]
672,cynisme,[-1]
673,daden,[1]
674,dader,[-1]
675,dagen,[1]
676,dageraad,[1]
677,dagvaarding,[-1]
678,dakloze,[-1]
679,dalen,[-1]
680,dalende,[-1]
681,daling,[-1]
682,damp,[-1]
683,dampen,[-1]
684,dankbaar,[1]
685,dankbaarheid,[1]
686,danken,[1]
687,dapper,[1]
688,dapperheid,[1]
689,dar,[-1]
690,dark,[-1]
691,dead,[-1]
692,death,[-1]
693,debacle,[-1]
694,debt,[-1]
695,decadent,[-1]
696,deel,[-1]
697,deelneming,[1]
698,defect,[-1]
699,defensief,[-1]
700,degelijk,[1]
701,degraderen,[-1]
702,dekken,[-1]
703,deksel,[1]
704,delay,[-1]
705,delicaat,[1]
706,delicate,[1]
707,delicten,[-1]
708,delirium,[-1]
709,demon,[-1]
710,demper,[-1]
711,denigrerend,[-1]
712,denigrerende,[-1]
713,denkbeeldig,[-1]
714,depressie,[-1]
715,depressies,[-1]
716,desertie,[-1]
717,desolate,[-1]
718,despoot,[-1]
719,destroyer,[-1]
720,destructief,[-1]
721,deugd,[1]
722,deugdelijk,[1]
723,deugdzaam,[1]
724,deuk,[-1]
725,devil,[-1]
726,diagram,[-1]
727,diameter,[-1]
728,diarree,[-1]
729,dicht,[-1]
730,dictator,[-1]
731,dictatoriaal,[-1]
732,die,[-1]
733,died,[-1]
734,diefstal,[-1]
735,dienaar,[-1]
736,dienstbaar,[-1]
737,dienstbaarheid,[-1]
738,diep,[1]
739,diepgaand,[1]
740,dierlijk,[-1]
741,dies,[-1]
742,dik,[-1]
743,dikker,[-1]
744,dilemma,[-1]
745,din,[-1]
746,ding,[-1]
747,diplomatiek,[1]
748,direct,[1]
749,dirty,[-1]
750,discontinuïteit,[-1]
751,discriminatie,[-1]
752,discriminerende,[-1]
753,diskrediet,[-1]
754,disorder,[-1]
755,dispuut,[-1]
756,diss,[-1]
757,dissident,[-1]
758,dissidenten,[-1]
759,dissonant,[-1]
760,distortion,[-1]
761,diversen,[-1]
762,dobbelsteen,[-1]
763,dode,[-1]
764,dodelijk,[-1]
765,doden,[-1]
766,doelbewust,[1]
767,doeltreffend,[1]
768,doen,[-1]
769,dof,[-1]
770,dogmatisch,[-1]
771,dol,[-1]
772,dolblij,[1]
773,dom,[-1]
774,domheid,[-1]
775,domineert,[1]
776,domme,[-1]
777,donker,[-1]
778,donkerder,[-1]
779,dood,[-1]
780,doodgaan,[-1]
